id,nct_id,mesh_term,downcase_mesh_term,mesh_type
1231653184,NCT00406419,Arthritis,arthritis,mesh-ancestor
1231653185,NCT00406419,Joint Diseases,joint diseases,mesh-ancestor
1231653186,NCT00406419,Musculoskeletal Diseases,musculoskeletal diseases,mesh-ancestor
1231653187,NCT00406419,Rheumatic Diseases,rheumatic diseases,mesh-ancestor
1231653188,NCT00406419,Connective Tissue Diseases,connective tissue diseases,mesh-ancestor
1231653189,NCT00406419,Skin and Connective Tissue Diseases,skin and connective tissue diseases,mesh-ancestor
1231653190,NCT00406419,Autoimmune Diseases,autoimmune diseases,mesh-ancestor
1231653191,NCT00406419,Immune System Diseases,immune system diseases,mesh-ancestor
1231654442,NCT00406419,"Arthritis, Rheumatoid","arthritis, rheumatoid",mesh-list
1231660084,NCT06536465,Gram-Positive Bacterial Infections,gram-positive bacterial infections,mesh-ancestor
1231660085,NCT06536465,Bacterial Infections,bacterial infections,mesh-ancestor
1231660086,NCT06536465,Bacterial Infections and Mycoses,bacterial infections and mycoses,mesh-ancestor
1231660087,NCT06536465,Infections,infections,mesh-ancestor
1231661833,NCT06536465,Clostridium Infections,clostridium infections,mesh-list
1230795291,NCT01419795,"Lymphoma, T-Cell","lymphoma, t-cell",mesh-ancestor
1230795292,NCT01419795,Lymphoma,lymphoma,mesh-ancestor
1230795293,NCT01419795,Neoplasms by Histologic Type,neoplasms by histologic type,mesh-ancestor
1230795294,NCT01419795,Neoplasms,neoplasms,mesh-ancestor
1230795295,NCT01419795,Lymphoproliferative Disorders,lymphoproliferative disorders,mesh-ancestor
1230795296,NCT01419795,Lymphatic Diseases,lymphatic diseases,mesh-ancestor
1230795297,NCT01419795,Hemic and Lymphatic Diseases,hemic and lymphatic diseases,mesh-ancestor
1230795298,NCT01419795,Immunoproliferative Disorders,immunoproliferative disorders,mesh-ancestor
1230795299,NCT01419795,Immune System Diseases,immune system diseases,mesh-ancestor
1230795300,NCT01419795,Lymphadenopathy,lymphadenopathy,mesh-ancestor
1230795301,NCT01419795,Eye Neoplasms,eye neoplasms,mesh-ancestor
1230795302,NCT01419795,Neoplasms by Site,neoplasms by site,mesh-ancestor
1230795303,NCT01419795,"Lymphoma, B-Cell","lymphoma, b-cell",mesh-ancestor
1230795304,NCT01419795,"Leukemia, Lymphoid","leukemia, lymphoid",mesh-ancestor
1230795305,NCT01419795,Leukemia,leukemia,mesh-ancestor
1230795306,NCT01419795,Hematologic Diseases,hematologic diseases,mesh-ancestor
1230795307,NCT01419795,Epstein-Barr Virus Infections,epstein-barr virus infections,mesh-ancestor
1230795308,NCT01419795,Herpesviridae Infections,herpesviridae infections,mesh-ancestor
1230795309,NCT01419795,DNA Virus Infections,dna virus infections,mesh-ancestor
1230795310,NCT01419795,Virus Diseases,virus diseases,mesh-ancestor
1230795311,NCT01419795,Infections,infections,mesh-ancestor
1230795312,NCT01419795,Tumor Virus Infections,tumor virus infections,mesh-ancestor
1230795313,NCT01419795,"Leukemia, B-Cell","leukemia, b-cell",mesh-ancestor
1230795314,NCT01419795,Chronic Disease,chronic disease,mesh-ancestor
1230795315,NCT01419795,Disease Attributes,disease attributes,mesh-ancestor
1230795316,NCT01419795,Pathologic Processes,pathologic processes,mesh-ancestor
1230795317,NCT01419795,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1230795318,NCT01419795,"Leukemia, T-Cell","leukemia, t-cell",mesh-ancestor
1230795319,NCT01419795,"Neoplasms, Plasma Cell","neoplasms, plasma cell",mesh-ancestor
1230795320,NCT01419795,Hemostatic Disorders,hemostatic disorders,mesh-ancestor
1230795321,NCT01419795,Vascular Diseases,vascular diseases,mesh-ancestor
1230795322,NCT01419795,Cardiovascular Diseases,cardiovascular diseases,mesh-ancestor
1230795323,NCT01419795,Paraproteinemias,paraproteinemias,mesh-ancestor
1230795324,NCT01419795,Blood Protein Disorders,blood protein disorders,mesh-ancestor
1230795325,NCT01419795,Hemorrhagic Disorders,hemorrhagic disorders,mesh-ancestor
1230798241,NCT01419795,"Lymphoma, Extranodal NK-T-Cell","lymphoma, extranodal nk-t-cell",mesh-list
1230798242,NCT01419795,"Lymphoma, Large-Cell, Anaplastic","lymphoma, large-cell, anaplastic",mesh-list
1230798243,NCT01419795,Immunoblastic Lymphadenopathy,immunoblastic lymphadenopathy,mesh-list
1230798244,NCT01419795,Intraocular Lymphoma,intraocular lymphoma,mesh-list
1230798245,NCT01419795,"Lymphoma, B-Cell, Marginal Zone","lymphoma, b-cell, marginal zone",mesh-list
1230798246,NCT01419795,"Lymphoma, T-Cell, Peripheral","lymphoma, t-cell, peripheral",mesh-list
1230798247,NCT01419795,"Leukemia, Prolymphocytic","leukemia, prolymphocytic",mesh-list
1230798248,NCT01419795,Burkitt Lymphoma,burkitt lymphoma,mesh-list
1230798249,NCT01419795,"Lymphoma, Large B-Cell, Diffuse","lymphoma, large b-cell, diffuse",mesh-list
1230798250,NCT01419795,"Lymphoma, Non-Hodgkin","lymphoma, non-hodgkin",mesh-list
1230798251,NCT01419795,"Lymphoma, Large-Cell, Immunoblastic","lymphoma, large-cell, immunoblastic",mesh-list
1230798252,NCT01419795,Precursor Cell Lymphoblastic Leukemia-Lymphoma,precursor cell lymphoblastic leukemia-lymphoma,mesh-list
1230798253,NCT01419795,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,precursor t-cell lymphoblastic leukemia-lymphoma,mesh-list
1230798254,NCT01419795,"Lymphoma, T-Cell, Cutaneous","lymphoma, t-cell, cutaneous",mesh-list
1230798255,NCT01419795,"Lymphoma, Follicular","lymphoma, follicular",mesh-list
1230798256,NCT01419795,"Lymphoma, Mantle-Cell","lymphoma, mantle-cell",mesh-list
1230798257,NCT01419795,Mycosis Fungoides,mycosis fungoides,mesh-list
1230798258,NCT01419795,Sezary Syndrome,sezary syndrome,mesh-list
1230798259,NCT01419795,"Leukemia, Lymphocytic, Chronic, B-Cell","leukemia, lymphocytic, chronic, b-cell",mesh-list
1230798260,NCT01419795,"Leukemia, Hairy Cell","leukemia, hairy cell",mesh-list
1230798261,NCT01419795,"Leukemia, Large Granular Lymphocytic","leukemia, large granular lymphocytic",mesh-list
1230798262,NCT01419795,Waldenstrom Macroglobulinemia,waldenstrom macroglobulinemia,mesh-list
1230802922,NCT00313014,Back Pain,back pain,mesh-ancestor
1230802923,NCT00313014,Pain,pain,mesh-ancestor
1230802924,NCT00313014,Neurologic Manifestations,neurologic manifestations,mesh-ancestor
1230802925,NCT00313014,Signs and Symptoms,signs and symptoms,mesh-ancestor
1230802926,NCT00313014,"Pathological Conditions, Signs and Symptoms","pathological conditions, signs and symptoms",mesh-ancestor
1230803705,NCT03532542,Muscular Dystrophies,muscular dystrophies,mesh-ancestor
1230803706,NCT03532542,"Muscular Disorders, Atrophic","muscular disorders, atrophic",mesh-ancestor
1230803707,NCT03532542,Muscular Diseases,muscular diseases,mesh-ancestor
1230803708,NCT03532542,Musculoskeletal Diseases,musculoskeletal diseases,mesh-ancestor
1230803709,NCT03532542,Neuromuscular Diseases,neuromuscular diseases,mesh-ancestor
1230803710,NCT03532542,Nervous System Diseases,nervous system diseases,mesh-ancestor
1230803711,NCT03532542,"Genetic Diseases, X-Linked","genetic diseases, x-linked",mesh-ancestor
1230803712,NCT03532542,"Genetic Diseases, Inborn","genetic diseases, inborn",mesh-ancestor
1230803713,NCT03532542,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities","congenital, hereditary, and neonatal diseases and abnormalities",mesh-ancestor
1230805533,NCT00313014,Low Back Pain,low back pain,mesh-list
1230805704,NCT03532542,"Muscular Dystrophy, Duchenne","muscular dystrophy, duchenne",mesh-list
1233316586,NCT01395342,Pregnancy Complications,pregnancy complications,mesh-ancestor
1233316587,NCT01395342,Female Urogenital Diseases and Pregnancy Complications,female urogenital diseases and pregnancy complications,mesh-ancestor
