id,nct_id,number_of_facilities,number_of_nsae_subjects,number_of_sae_subjects,registered_in_calendar_year,nlm_download_date,actual_duration,were_results_reported,months_to_report_results,has_us_facility,has_single_facility,minimum_age_num,maximum_age_num,minimum_age_unit,maximum_age_unit,number_of_primary_outcomes_to_measure,number_of_secondary_outcomes_to_measure,number_of_other_outcomes_to_measure
200304119,NCT02378870,1,,,2014,,5.0,f,,f,t,18.0,,year,,1.0,11.0,
200304504,NCT01395342,1,,,2011,,46.0,f,,f,t,18.0,45.0,year,year,1.0,2.0,
200304526,NCT00630994,1,26.0,2.0,2008,,17.0,t,28.0,t,t,18.0,120.0,year,year,1.0,4.0,
200304534,NCT01855321,1,,,2013,,55.0,f,,t,t,30.0,65.0,year,year,1.0,,
200304542,NCT04931147,1,,,2021,,22.0,f,,f,t,18.0,55.0,year,year,4.0,30.0,
200304554,NCT05205109,7,,,2022,,,f,,f,f,18.0,,year,,4.0,3.0,3.0
200304559,NCT05772546,4,,,2023,,,f,,t,f,18.0,,year,,3.0,10.0,
200304561,NCT04957914,1,,,2021,,15.0,f,,f,t,18.0,70.0,year,year,1.0,,
200304575,NCT03891732,2,,,2019,,,f,,f,f,50.0,75.0,year,year,2.0,4.0,
200304581,NCT05916378,1,,,2023,,17.0,f,,t,t,18.0,99.0,year,year,1.0,,
200304590,NCT05727267,2,,,2022,,,f,,f,f,18.0,65.0,year,year,4.0,3.0,
200304591,NCT01169259,1,193947.0,16422.0,2010,,100.0,t,12.0,t,t,50.0,,year,,2.0,11.0,13.0
200304596,NCT05963217,1,,,2023,,,f,,f,t,18.0,,year,,4.0,4.0,2.0
200304599,NCT05993299,38,98.0,12.0,2023,,33.0,t,11.0,t,f,10.0,,year,,1.0,13.0,
200304600,NCT05644756,1,,,2022,,21.0,t,9.0,t,t,18.0,,year,,1.0,,
200304602,NCT06020378,1,,,2023,,,f,,f,t,,,,,1.0,3.0,
200304603,NCT04638439,5,,,2020,,33.0,f,,f,f,20.0,70.0,year,year,2.0,7.0,
200304607,NCT06839872,0,,,2025,,,f,,,,18.0,110.0,year,year,1.0,4.0,
200304609,NCT04663997,10,,,2020,,49.0,f,,f,f,18.0,,year,,1.0,10.0,
200304620,NCT04238624,7,,,2020,,,f,,t,f,18.0,,year,,1.0,,
200304622,NCT06297642,5,,,2024,,2.0,f,,f,f,18.0,70.0,year,year,2.0,14.0,
200304633,NCT05981365,1,25.0,,2023,,5.0,t,11.0,t,t,18.0,55.0,year,year,24.0,34.0,8.0
200304668,NCT00671645,10,,,2008,,7.0,f,,f,f,18.0,80.0,year,year,1.0,1.0,
200304674,NCT00261352,152,,,2005,,,f,,f,f,18.0,,year,,1.0,8.0,
200304683,NCT00401310,0,,,2006,,18.0,f,,,,18.0,80.0,year,year,1.0,1.0,
200304694,NCT04909879,0,,,2021,,,f,,,,18.0,,year,,1.0,5.0,
200304704,NCT00320801,66,432.0,36.0,2006,,14.0,t,64.0,t,f,40.0,,year,,1.0,,
200304735,NCT00323362,3,126.0,23.0,2006,,30.0,t,61.0,t,f,18.0,,year,,1.0,2.0,
200304770,NCT05790200,1,,,2023,,,f,,f,t,18.0,75.0,year,year,3.0,1.0,1.0
200304810,NCT04535518,5,,,2020,,,f,,f,f,1.0,14.0,month,year,1.0,13.0,
200304920,NCT04479358,1,225.0,,2020,,42.0,t,12.0,t,t,18.0,,year,,1.0,13.0,
200304924,NCT05798611,15,,,2023,,14.0,f,,t,f,18.0,,year,,1.0,10.0,
200304932,NCT06011577,36,,,2023,,16.0,f,,t,f,18.0,65.0,year,year,1.0,,
200304950,NCT05493683,6,,,2022,,,f,,f,f,18.0,,year,,1.0,5.0,
200305036,NCT04895046,0,,,2021,,,f,,,,18.0,,year,,1.0,5.0,
200305051,NCT00470249,3,,,2007,,28.0,f,,f,f,18.0,120.0,year,year,1.0,5.0,
200305089,NCT04465916,18,48.0,,2020,,13.0,t,14.0,f,f,18.0,65.0,year,year,1.0,1.0,
200305104,NCT00265863,1,,,2005,,12.0,f,,t,t,18.0,,year,,1.0,2.0,
200305116,NCT01408056,1,,,2011,,35.0,f,,t,t,1.0,8.0,month,month,1.0,9.0,
200305191,NCT00544778,0,177.0,,2007,,124.0,t,30.0,,,18.0,65.0,year,year,1.0,,
200305203,NCT05005468,1,,,2021,,,f,,f,t,18.0,75.0,year,year,1.0,2.0,
200305211,NCT03112720,2,,,2014,,48.0,t,13.0,t,f,13.0,92.0,year,year,3.0,,
200305285,NCT00517868,6,60.0,2.0,2007,,6.0,t,197.0,t,f,18.0,,year,,1.0,3.0,
200305297,NCT05349760,0,,,2022,,,f,,,,40.0,,year,,1.0,5.0,
200305345,NCT00483119,1,28.0,2.0,2007,,34.0,t,68.0,t,t,18.0,85.0,year,year,2.0,2.0,
200305371,NCT04190056,1,,,2019,,27.0,t,1.0,t,t,18.0,,year,,1.0,4.0,
200305392,NCT01119118,1,53.0,8.0,2010,,16.0,t,17.0,t,t,18.0,,year,,1.0,4.0,
200305490,NCT05657457,1,,,2022,,26.0,f,,f,t,18.0,,year,,1.0,15.0,
200305508,NCT01340794,11,58.0,21.0,2011,,42.0,t,15.0,t,f,18.0,,year,,1.0,4.0,
200305528,NCT00511329,1,,,2007,,33.0,t,60.0,t,t,5.0,17.0,year,year,1.0,1.0,
200305556,NCT05005000,1,,,2021,,12.0,f,,t,t,18.0,,year,,1.0,3.0,
200305738,NCT03147040,4,,,2017,,54.0,f,,f,f,18.0,,year,,1.0,6.0,
200305756,NCT06105008,3,,,2023,,,f,,f,f,18.0,,year,,1.0,9.0,
200305816,NCT00210366,1,,,2005,,68.0,f,,f,t,18.0,75.0,year,year,1.0,3.0,
200305826,NCT01886105,1,7.0,4.0,2013,,28.0,t,46.0,t,t,10.0,65.0,year,year,1.0,1.0,
200305864,NCT04784455,9,69.0,15.0,2020,,39.0,t,11.0,t,f,6.0,18.0,month,year,1.0,4.0,
200305876,NCT05495724,1,,,2022,,,f,,f,t,18.0,,year,,1.0,8.0,
200306023,NCT00313482,1,,,2006,,28.0,f,,t,t,18.0,90.0,year,year,1.0,3.0,
200306096,NCT00003452,1,,,1999,,24.0,f,,t,t,18.0,99.0,year,year,,,
199958577,NCT01419795,1,,7.0,2011,,16.0,t,40.0,t,t,18.0,,year,,1.0,8.0,
199959608,NCT00313014,85,1185.0,50.0,2006,,19.0,t,58.0,t,f,18.0,,year,,1.0,3.0,
199959741,NCT03532542,50,719.0,57.0,2018,,60.0,t,12.0,t,f,7.0,23.0,year,year,1.0,,
200325120,NCT01829464,86,48.0,1.0,2013,,9.0,t,17.0,t,f,18.0,,year,,1.0,2.0,
200325359,NCT03432195,1,,,2018,,4.0,f,,t,t,30.0,,year,,2.0,3.0,
200076406,NCT00406419,1,1848.0,316.0,2006,,33.0,t,132.0,t,t,18.0,,year,,3.0,23.0,
200077341,NCT06536465,2,2.0,,2024,,6.0,t,6.0,t,f,18.0,115.0,year,year,5.0,7.0,
