id,nct_id,design_group_id,intervention_id
394373322,NCT00406419,331790519,299487836
394373323,NCT00406419,331790520,299487836
394373324,NCT00406419,331790518,299487836
394373325,NCT00406419,331790519,299487837
394373326,NCT00406419,331790520,299487837
394373327,NCT00406419,331790518,299487838
394375300,NCT06536465,331792135,299489342
394375301,NCT06536465,331792136,299489342
394113702,NCT01419795,331574681,299289865
394113703,NCT01419795,331574682,299289865
394113704,NCT01419795,331574681,299289866
394113705,NCT01419795,331574681,299289867
394113706,NCT01419795,331574682,299289867
394113707,NCT01419795,331574681,299289868
394113708,NCT01419795,331574682,299289868
394116065,NCT00313014,331576555,299291598
394116066,NCT00313014,331576556,299291599
394116067,NCT00313014,331576557,299291600
394116361,NCT03532542,331576790,299291842
394116362,NCT03532542,331576791,299291843
394887520,NCT02378870,332209446,299874362
394887521,NCT02378870,332209447,299874363
394888322,NCT01395342,332210126,299874991
394888398,NCT01855321,332210194,299875053
394888399,NCT01855321,332210195,299875054
394888416,NCT04931147,332210205,299875075
394888417,NCT04931147,332210206,299875075
394888418,NCT04931147,332210207,299875075
394888419,NCT04931147,332210208,299875075
394888420,NCT04931147,332210209,299875075
394888421,NCT04931147,332210210,299875075
394888422,NCT04931147,332210218,299875075
394888423,NCT04931147,332210211,299875075
394888424,NCT04931147,332210212,299875075
394888425,NCT04931147,332210217,299875075
394888426,NCT04931147,332210213,299875075
394888427,NCT04931147,332210214,299875075
394888428,NCT04931147,332210215,299875075
394888429,NCT04931147,332210216,299875075
394888430,NCT04931147,332210219,299875075
394888431,NCT04931147,332210220,299875075
394888432,NCT04931147,332210221,299875075
394888433,NCT04931147,332210222,299875075
394888434,NCT04931147,332210205,299875076
394888435,NCT04931147,332210206,299875076
394888436,NCT04931147,332210207,299875076
394888437,NCT04931147,332210208,299875076
394888438,NCT04931147,332210209,299875076
394888439,NCT04931147,332210210,299875076
394888440,NCT04931147,332210218,299875076
394888441,NCT04931147,332210211,299875076
394888442,NCT04931147,332210212,299875076
394888443,NCT04931147,332210217,299875076
394888444,NCT04931147,332210213,299875076
394888445,NCT04931147,332210214,299875076
394888446,NCT04931147,332210215,299875076
394888447,NCT04931147,332210216,299875076
394888448,NCT04931147,332210219,299875076
394888449,NCT04931147,332210220,299875076
394888478,NCT05205109,332210248,299875098
394888479,NCT05205109,332210248,299875099
394888492,NCT05772546,332210256,299875108
394888493,NCT05772546,332210257,299875109
394888496,NCT04957914,332210260,299875112
394888497,NCT04957914,332210261,299875113
394888514,NCT03891732,332210282,299875130
394888538,NCT05727267,332210311,299875146
394888539,NCT05727267,332210312,299875146
394888540,NCT05727267,332210313,299875146
394888541,NCT05727267,332210314,299875147
394888542,NCT05727267,332210315,299875147
394888543,NCT05727267,332210316,299875147
394888544,NCT01169259,332210317,299875148
394888545,NCT01169259,332210318,299875148
394888546,NCT01169259,332210317,299875149
394888547,NCT01169259,332210319,299875149
394888548,NCT01169259,332210319,299875150
394888549,NCT01169259,332210320,299875150
394888550,NCT01169259,332210318,299875151
394888551,NCT01169259,332210320,299875151
394888563,NCT05963217,332210331,299875159
394888564,NCT05963217,332210331,299875160
394888565,NCT05963217,332210331,299875161
394888568,NCT05993299,332210335,299875164
394888569,NCT05993299,332210335,299875165
394888570,NCT05993299,332210335,299875166
394888571,NCT05644756,332210336,299875167
394888573,NCT06020378,332210338,299875169
394888574,NCT04638439,332210340,299875170
394888587,NCT06839872,332210349,299875176
394888588,NCT06839872,332210349,299875177
394888590,NCT04663997,332210351,299875179
394888591,NCT04663997,332210352,299875180
394888604,NCT04238624,332210366,299875194
394888605,NCT04238624,332210366,299875195
394888609,NCT06297642,332210369,299875198
394888610,NCT06297642,332210369,299875199
394888631,NCT05981365,332210386,299875214
394888632,NCT05981365,332210387,299875214
394888633,NCT05981365,332210386,299875215
394888634,NCT05981365,332210386,299875216
394888635,NCT05981365,332210386,299875217
394888636,NCT05981365,332210386,299875218
394888637,NCT05981365,332210386,299875219
394888638,NCT05981365,332210387,299875220
394888639,NCT05981365,332210387,299875221
394888640,NCT05981365,332210387,299875222
394888712,NCT00671645,332210444,299875277
394888739,NCT00401310,332210470,299875310
394888740,NCT00401310,332210471,299875311
394888763,NCT04909879,332210488,299875337
394888764,NCT04909879,332210489,299875338
394888788,NCT00320801,332210501,299875357
394888789,NCT00320801,332210502,299875358
394888858,NCT00323362,332210558,299875412
394888859,NCT00323362,332210558,299875413
394888917,NCT05790200,332210616,299875464
