id,nct_id,id_source,id_value,id_type,id_type_description,id_link
230731325,NCT02378870,org_study_id,ODX-002,,,
230731720,NCT00630994,secondary_id,P30CA015083,NIH,,https://reporter.nih.gov/quickSearch/P30CA015083
230731721,NCT00630994,secondary_id,MC0788,OTHER,Mayo Clinic Cancer Center,
230731722,NCT00630994,secondary_id,NCI-2009-01330,REGISTRY,NCI-CTRO,
230731723,NCT00630994,secondary_id,07-005296,OTHER,Mayo Clinic IRB,
230731740,NCT05205109,secondary_id,KEYNOTE-E73,OTHER,Merck Sharp & Dohme LLC,
230731743,NCT04957914,secondary_id,I8H-MC-BDCI,OTHER,Eli Lilly and Company,
230731744,NCT04957914,secondary_id,2019-003537-42,EUDRACT_NUMBER,,
230731748,NCT01169259,secondary_id,U01CA138962,NIH,,https://reporter.nih.gov/quickSearch/U01CA138962
230731749,NCT01169259,secondary_id,R01CA138962,NIH,,https://reporter.nih.gov/quickSearch/R01CA138962
230731754,NCT05644756,secondary_id,P50MH126219,NIH,,https://reporter.nih.gov/quickSearch/P50MH126219
230731764,NCT05981365,secondary_id,C5341029,OTHER,Alias Study Number,
230731781,NCT00261352,secondary_id,EudraCT No 2004-02550-56,,,
230731786,NCT00401310,secondary_id,2006_559,,,
230731808,NCT00323362,secondary_id,P30CA072720,NIH,,https://reporter.nih.gov/quickSearch/P30CA072720
230731809,NCT00323362,secondary_id,030503,OTHER,CINJ,
230731810,NCT00323362,secondary_id,0220060014,OTHER,UMDNJ IRB,
230731811,NCT00323362,secondary_id,NJ1505,OTHER,CINJ,
230731873,NCT05798611,secondary_id,2023-504153-12,EUDRACT_NUMBER,,
230731901,NCT01395342,org_study_id,08/2011/PC,,,
230731923,NCT00630994,org_study_id,CDR0000588839,,,
230731931,NCT01855321,org_study_id,174-2010,,,
230731939,NCT04931147,org_study_id,RXC007/0001,,,
230731951,NCT05205109,org_study_id,ATG-037-001,,,
230731956,NCT05772546,org_study_id,22-712,,,
230731958,NCT04957914,org_study_id,16936,,,
230731972,NCT03891732,org_study_id,CRE 2018.495,,,
230731978,NCT05916378,org_study_id,68742,,,
230731987,NCT05727267,org_study_id,TherVacB_Phase1,,,
230731988,NCT01169259,org_study_id,2009P-001217,,,
230731993,NCT05963217,org_study_id,TBI-200101,,,
230731996,NCT05993299,org_study_id,208467 Substudy 1,,,
230731997,NCT05644756,org_study_id,1943932-2,,,
230731999,NCT06020378,org_study_id,IIT-2022-0186,,,
230732000,NCT04638439,org_study_id,A20-101,,,
230732004,NCT06839872,org_study_id,D8220R00065,,,
230732006,NCT04663997,org_study_id,PR21,,,
230732017,NCT04238624,org_study_id,19-464,,,
