name_lower,name,pubchem_cid,smiles,molecular_weight,logp,matched_by
dacogen,Dacogen,451668.0,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,228.21,-1.2,Name
pirtobrutinib,Pirtobrutinib,129269915.0,C[C@@H](C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N,479.4,3.3,Name
acalabrutinib,Acalabrutinib,71226662.0,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,465.5,3.0,Name
placebo,Placebo,,,,,Failed
tak-875,TAK-875,24857286.0,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)[C@@H](CO4)CC(=O)O)C)OCCCS(=O)(=O)C,524.6,4.7,Name
tesaglitazar,Tesaglitazar,208901.0,CCO[C@@H](CC1=CC=C(C=C1)OCCC2=CC=C(C=C2)OS(=O)(=O)C)C(=O)O,408.5,3.5,Name
metformin,Metformin,4091.0,CN(C)C(=N)N=C(N)N,129.16,-1.3,Name
fenofibrate,Fenofibrate,3339.0,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,360.8,5.2,Name
comparator: placebo,Comparator: Placebo,,,,,Failed
comparator: mk0724,Comparator: MK0724,208925.0,CCCCCC[C@@H](CCC)C(=O)O,186.29,3.7,Name
buprenorphine transdermal patch,Buprenorphine transdermal patch,,,,,Failed
gemcitabine hydrochloride,Gemcitabine Hydrochloride,60750.0,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,263.2,-1.5,Name
imatinib mesylate,imatinib mesylate,123596.0,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,589.7,,Name
ivig,IVIG,,,,,Failed
aspirin,Aspirin,2244.0,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2,Name
lenalidomide,lenalidomide,216326.0,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,259.26,-0.5,Name
art0380,ART0380,145766632.0,C[C@@H]1COCCN1C2=NC(=NC(=C2)N=[S@](=O)(C)C3CC3)C4=CC(=NC=C4)N,388.5,1.9,Name
rel-1017,REL-1017,643985.0,CCC(=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,309.4,3.9,Name
niraparib,Niraparib,24958200.0,C1C[C@H](CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,320.4,2.2,Name
carboplatin,Carboplatin,10339178.0,C1CC(C1)(C(=O)[O-])C(=O)[O-].N.N.[Pt+2],371.25,,Name
eyp001a,EYP001a,,,,,Failed
nucleotide analogue (entecavir or tenofovir disoproxil),Nucleotide analogue (Entecavir or Tenofovir Disoproxil),,,,,Failed
mitomycin c,mitomycin C,5746.0,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,334.33,-0.4,Name
timolol 0.5% gel forming solution (gfs),Timolol 0.5% Gel Forming Solution (GFS),33624.0,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O,316.42,1.8,Name
mupirocin 2% ointment,Mupirocin 2% Ointment,446596.0,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O,500.6,3.0,Name
