nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry
NCT01395342,,2011-07-04,,,2012-07-11,2011-07-13,2011-07-15,ESTIMATED,,,,,,,2012-07-11,2012-07-12,ESTIMATED,2008-01,,2008-01-31,2012-07,2012-07-31,2011-11,ACTUAL,2011-11-30,2011-11,ACTUAL,2011-11-30,,INTERVENTIONAL,,,Assessment of Physical Exercise Using Stationary Bicycle for Pregnant Women With Risk for Preeclampsia Development,Assessment of Physical Exercise Using Stationary Bicycle for Pregnant Women With Risk for Preeclampsia Development,COMPLETED,,PHASE1,116.0,ACTUAL,"University of Campinas, Brazil",,1.0,,,f,,,,t,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT00630994,,2008-03-06,2012-01-09,,2015-11-25,2008-03-06,2008-03-07,ESTIMATED,2012-03-05,2012-04-02,ESTIMATED,,,,2015-11-25,2015-12-30,ESTIMATED,2008-03,,2008-03-31,2012-11,2012-11-30,2012-04,ACTUAL,2012-04-30,2009-08,ACTUAL,2009-08-31,,INTERVENTIONAL,,,Low-Dose Decitabine in Treating Patients With Symptomatic Myelofibrosis,Phase II Trial of Low Dose Decitabine (Dacogen) in Patients With Primary Myelofibrosis and Post ET/PV Myelofibrosis,TERMINATED,,PHASE2,4.0,ACTUAL,Mayo Clinic,Study terminated early. Most analyses were not performed.,,,Stopped due to slow accrual,f,,,,t,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT01855321,,2013-03-18,,,2015-06-25,2013-05-13,2013-05-16,ESTIMATED,,,,,,,2015-06-25,2015-06-26,ESTIMATED,2010-08,,2010-08-31,2015-06,2015-06-30,2015-03,ACTUAL,2015-03-31,2015-03,ACTUAL,2015-03-31,,INTERVENTIONAL,,,Effects of Treating Vitamin D Deficiency in Poorly Controlled Type 2 Diabetes,Effects of Treating Vitamin D Deficiency in Poorly Controlled Type 2 Diabetes,COMPLETED,,PHASE1,76.0,ACTUAL,University of Florida,,2.0,,,f,,,,f,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT04931147,,2021-06-04,,,2023-11-15,2021-06-11,2021-06-18,ACTUAL,,,,,,,2023-11-15,2023-11-18,ACTUAL,2021-05-13,ACTUAL,2021-05-13,2023-11,2023-11-30,2023-03-08,ACTUAL,2023-03-08,2023-03-08,ACTUAL,2023-03-08,,INTERVENTIONAL,,,"A 3-part Study to Evaluate Safety, Tolerability, Food Effect and Drug-drug Interactions of RXC007 in Healthy Volunteers","A Randomised, Double-blind, Placebo-controlled, SAD/MAD First-in-human, Phase 1 Study to Evaluate the Safety, Tolerability and Pharmacokinetics of RXC007 Including Evaluation of Drug-Drug Interaction and Food Effect in Male Participants",COMPLETED,,PHASE1,90.0,ACTUAL,Redx Pharma Ltd,,18.0,,,f,,,,f,f,f,,,,,,,,,NO,"At this stage, it is not planned that any IPD information will be shared with other researchers outside of the Sponsor and Clinical Research Organisation undertaking the conduct of this study.",2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT05205109,,2022-01-11,,,2025-06-05,2022-01-11,2022-01-24,ACTUAL,,,,,,,2025-06-05,2025-06-09,ACTUAL,2022-06-07,ACTUAL,2022-06-07,2025-06,2025-06-30,2028-02-28,ESTIMATED,2028-02-28,2027-08-30,ESTIMATED,2027-08-30,,INTERVENTIONAL,,,"A Study to Assess the Safety, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy of ATG 037 Monotherapy and Combination Therapy With Pembrolizumab in Patients With Advanced Solid Tumors","A Phase I/Ib, Multi-center, Open-label, and Dose-finding Study to Assess the Safety, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy of ATG-037 Monotherapy and Combination Therapy With Pembrolizumab in Patients With Locally Advanced or Metastatic Solid Tumors",RECRUITING,,PHASE1,98.0,ESTIMATED,Antengene Corporation,,1.0,,,f,,,,,f,f,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT05772546,,2023-03-06,,,2025-11-04,2023-03-06,2023-03-16,ACTUAL,,,,,,,2025-11-04,2025-11-06,ACTUAL,2023-11-01,ACTUAL,2023-11-01,2025-11,2025-11-30,2026-07-31,ESTIMATED,2026-07-31,2025-12-31,ESTIMATED,2025-12-31,,INTERVENTIONAL,ACT-GI,,Avatrombopag vs. Placebo for CIT in GI Malignancies,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Phase 2 Study of Avatrombopag for Persistent Chemotherapy-Induced Thrombocytopenia in Patients With Gastrointestinal Malignancies (ACT-GI)",ACTIVE_NOT_RECRUITING,,PHASE2,60.0,ESTIMATED,Massachusetts General Hospital,,2.0,,,f,,,,t,t,f,,,,,,Data can be shared no earlier than 1 year following the date of publication,Contact the Partners Innovations team at http://www.partners.org/innovation,,YES,The Dana-Farber / Harvard Cancer Center encourages and supports the responsible and ethical sharing of data from clinical trials. De-identified participant data from the final research dataset used in the published manuscript may only be shared under the terms of a Data Use Agreement. Requests may be directed to: \[contact information for Sponsor Investigator or designee\]. The protocol and statistical analysis plan will be made available on Clinicaltrials.gov only as required by federal regulation or as a condition of awards and agreements supporting the research.,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT03432195,,2018-01-31,,,2018-08-06,2018-02-07,2018-02-14,ACTUAL,,,,,,,2018-08-06,2018-08-07,ACTUAL,2018-01-31,ACTUAL,2018-01-31,2018-08,2018-08-31,2018-06-28,ACTUAL,2018-06-28,2018-06-28,ACTUAL,2018-06-28,,INTERVENTIONAL,,,A Clinical Study to Evaluate the Pharmacokinetics (PK) of Corplex™ Donepezil Transdermal Delivery System (TDS) Applied to Different Body Locations,"A Phase 1, Crossover Study to Evaluate the Pharmacokinetics of Corplex™ Donepezil 10 mg Transdermal Delivery System Applied to Different Body Locations",COMPLETED,,PHASE1,66.0,ACTUAL,"Corium, Inc.",,3.0,,,f,,,,f,t,f,,,,,,,,,NO,no plans,2026-03-01 14:19:20.628898,2026-03-01 14:19:20.628898,INDUSTRY,,,,,,
NCT04957914,,2021-07-08,,,2022-11-15,2021-07-08,2021-07-12,ACTUAL,,,,,,,2022-11-15,2022-11-16,ACTUAL,2021-07-14,ACTUAL,2021-07-14,2022-11-01,2022-11-01,2022-10-17,ACTUAL,2022-10-17,2022-10-17,ACTUAL,2022-10-17,,INTERVENTIONAL,,,A Study of LY3209590 on Low Blood Sugar in Participants With Type 2 Diabetes Mellitus,Effects of LY3209590 on Frequency and Severity of Hypoglycaemia Under Conditions of Increased Hypoglycaemic Risk Compared to Insulin Glargine in Participants With Type 2 Diabetes Mellitus,COMPLETED,,PHASE1,54.0,ACTUAL,Eli Lilly and Company,,2.0,,,f,,,,f,t,f,,,t,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT03891732,,2019-01-29,,,2024-11-20,2019-03-26,2019-03-27,ACTUAL,,,,,,,2024-11-20,2024-11-22,ACTUAL,2019-01-19,ACTUAL,2019-01-19,2024-11,2024-11-30,2024-12-31,ESTIMATED,2024-12-31,2024-12-31,ESTIMATED,2024-12-31,,OBSERVATIONAL,,,MRI Prostate for Chinese Men Being Screened for Prostate Cancer,The Use of MRI Prostate in Improving Detection of Significant Prostate Cancer in a Screening Population of Chinese Men With Elevated PSA,ACTIVE_NOT_RECRUITING,,,690.0,ESTIMATED,Chinese University of Hong Kong,,,2.0,,f,,,,,f,f,,,,,,,,,UNDECIDED,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,f
NCT05916378,,2023-06-14,,,2024-11-20,2023-06-14,2023-06-23,ACTUAL,,,,,,,2024-11-20,2024-11-22,ACTUAL,2023-05-22,ACTUAL,2023-05-22,2024-11,2024-11-30,2025-03-30,ESTIMATED,2025-03-30,2024-10-31,ACTUAL,2024-10-31,,OBSERVATIONAL,,,Achieving Equity in Genomic Testing for Breast Cancer Through Partner-Led Strategies and Policies,Achieving Equity in Genomic Testing for Breast Cancer Through Partner-Led Strategies and Policies,ACTIVE_NOT_RECRUITING,,,150.0,ESTIMATED,Stanford University,,,1.0,,f,,,,f,f,f,,,,,,,,,UNDECIDED,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,f
